Date,Open,High,Low,Close,Adj Close,Volume
2009-07-17,155.869995,157.940002,155.520004,156.839996,139.766479,9617200
2009-07-20,157.750000,160.729996,157.279999,160.029999,142.609161,12433800
2009-07-21,159.889999,160.009995,157.020004,159.800003,142.404251,10886500
2009-07-22,158.190002,161.250000,157.339996,160.460007,142.992432,9499400
2009-07-23,160.199997,166.419998,159.300003,165.449997,147.439209,12291900
2009-07-24,164.429993,165.000000,162.809998,164.720001,146.788651,7294400
2009-07-27,164.699997,165.470001,162.000000,163.869995,146.031204,7613000
2009-07-28,162.300003,162.389999,159.500000,160.539993,143.063736,10244800
2009-07-29,159.210007,160.979996,157.899994,159.440002,142.083466,9111300
2009-07-30,161.110001,164.100006,160.710007,162.419998,144.739075,9415400
2009-07-31,162.369995,163.869995,161.300003,163.300003,145.523224,7721200
2009-08-03,165.199997,166.289993,163.300003,164.100006,146.236160,8361800
2009-08-04,162.990005,165.470001,162.960007,165.169998,147.189651,8808900
2009-08-05,165.750000,168.960007,164.610001,168.639999,150.281982,9593900
2009-08-06,169.399994,170.940002,165.809998,166.750000,148.597702,8201800
2009-08-07,168.300003,168.300003,162.729996,163.649994,145.835098,10771800
2009-08-10,163.199997,163.880005,159.399994,160.360001,142.903275,8909700
2009-08-11,159.940002,162.220001,159.149994,159.220001,141.887344,9785100
2009-08-12,159.869995,164.389999,159.570007,163.759995,145.933136,9842700
2009-08-13,165.240005,165.490005,162.610001,164.479996,146.574829,8922600
2009-08-14,163.970001,164.389999,160.789993,162.729996,145.015274,6756800
2009-08-17,159.320007,159.610001,157.199997,157.250000,140.131836,10146100
2009-08-18,159.669998,160.899994,159.490005,160.479996,143.010254,8090000
2009-08-19,159.110001,160.500000,158.000000,159.929993,142.520096,8838900
2009-08-20,160.199997,162.839996,160.100006,162.330002,144.658829,7619200
2009-08-21,163.759995,164.899994,162.020004,163.509995,146.025192,10417200
2009-08-24,164.360001,166.259995,162.580002,162.580002,145.194672,9148800
2009-08-25,163.330002,165.300003,163.039993,164.940002,147.302277,9118900
2009-08-26,164.289993,166.410004,163.699997,165.949997,148.204300,8325600
2009-08-27,165.690002,165.899994,163.250000,165.020004,147.373764,7890600
2009-08-28,165.869995,166.250000,163.399994,164.419998,146.837921,7029800
2009-08-31,162.949997,165.589996,161.250000,165.460007,147.766678,9106500
2009-09-01,164.800003,166.380005,159.929993,160.169998,143.042404,12446800
2009-09-02,160.130005,161.440002,158.139999,158.539993,141.586700,10751500
2009-09-03,159.919998,162.250000,159.550003,161.660004,144.373032,8837800
2009-09-04,161.539993,163.850006,161.360001,162.970001,145.542953,6220100
2009-09-08,165.250000,167.250000,165.050003,167.220001,149.338486,10066300
2009-09-09,167.800003,170.559998,167.160004,170.270004,152.062378,10196500
2009-09-10,171.000000,175.360001,170.130005,174.869995,156.170456,13488900
2009-09-11,176.800003,177.809998,174.369995,174.699997,156.018631,11094800
2009-09-14,173.279999,177.899994,173.160004,177.710007,158.706757,8028100
2009-09-15,178.000000,178.000000,175.460007,176.660004,157.769028,8398900
2009-09-16,177.820007,179.869995,176.500000,179.869995,160.635773,8706100
2009-09-17,179.880005,183.000000,179.550003,181.460007,162.055786,9674300
2009-09-18,181.690002,183.949997,180.649994,183.179993,163.591782,8395300
2009-09-21,181.690002,183.729996,181.410004,182.389999,162.886292,6368600
2009-09-22,183.880005,185.800003,182.580002,185.520004,165.681610,7470700
2009-09-23,186.309998,188.000000,183.639999,183.639999,164.002670,10069600
2009-09-24,184.919998,185.600006,181.169998,183.059998,163.484634,10982400
2009-09-25,182.179993,183.100006,177.699997,179.500000,160.305328,12296200
2009-09-28,180.139999,182.779999,178.660004,182.500000,162.984528,7892200
2009-09-29,182.990005,184.779999,182.130005,183.580002,163.949081,7539300
2009-09-30,184.770004,185.479996,181.820007,184.350006,164.636719,10517900
2009-10-01,184.009995,184.690002,178.600006,178.990005,159.849899,11044500
2009-10-02,176.449997,181.059998,175.600006,179.610001,160.403595,9232400
2009-10-05,180.770004,186.649994,180.550003,186.470001,166.530029,9471200
2009-10-06,188.460007,189.440002,184.600006,186.979996,166.985458,13918900
2009-10-07,186.509995,190.580002,186.000000,190.479996,170.111176,10579400
2009-10-08,191.889999,192.169998,187.610001,188.169998,168.048218,11978100
2009-10-09,188.729996,189.750000,187.919998,189.300003,169.057373,6526300
2009-10-12,190.860001,190.899994,188.839996,190.149994,169.816498,6189400
2009-10-13,186.410004,187.800003,185.100006,187.229996,167.208710,11959300
2009-10-14,191.580002,193.600006,190.399994,192.279999,171.718735,15806700
2009-10-15,188.619995,190.860001,187.199997,188.630005,168.458984,17834200
2009-10-16,186.669998,187.649994,183.380005,184.369995,164.654602,12750800
2009-10-19,184.850006,186.789993,183.009995,185.500000,165.663712,7482000
2009-10-20,185.190002,187.550003,184.070007,184.960007,165.181488,7387400
2009-10-21,185.199997,185.500000,179.100006,179.259995,160.091003,11759300
2009-10-22,180.039993,183.940002,179.559998,183.690002,164.047302,10666200
